short,long
BD*,Brown Dwarf (M<0.08solMass)
N*,Confirmed Neutron Star
OH*,OH/IR star
pr*,Pre-main sequence Star
TT*,T Tau-type Star
WR*,Wolf-Rayet Star
PM*,High proper-motion Star
HV*,High-velocity Star
V*,Variable Star
Ir*,Variable Star of irregular type
Or*,Variable Star of Orion Type
Er*,Eruptive variable Star
RC*,Variable Star of R CrB type
RC?,Variable Star of R CrB type candiate
Ro*,Rotationally variable Star
a2*,Variable Star of alpha2 CVn type
Psr,Pulsar
BY*,Variable of BY Dra type
RS*,Variable of RS CVn type
Pu*,Pulsating variable Star
RR*,Variable Star of RR Lyr type
Ce*,Cepheid variable Star
dS*,Variable Star of delta Sct type
RV*,Variable Star of RV Tau type
WV*,Variable Star of W Vir type
bC*,Variable Star of beta Cep type
cC*,Classical Cepheid (delta Cep type)
gD*,Variable Star of gamma Dor type
SX*,Variable Star of SX Phe type (subdwarf)
LP*,Long-period variable star
Mi*,Variable Star of Mira Cet type
SN*,SuperNova
su*,Sub-stellar object
Pl?,Extra-solar Planet Candidate
Pl,Extra-solar Confirmed Planet
G,Galaxy
PoG,Part of a Galaxy
GiC,Galaxy in Cluster of Galaxies
BiC,Brightest galaxy in a Cluster (BCG)
GiG,Galaxy in Group of Galaxies
GiP,Galaxy in Pair of Galaxies
HzG,Galaxy with high redshift
rG,Radio Galaxy
H2G,HII Galaxy
LSB,Low Surface Brightness Galaxy
AG?,Possible Active Galaxy Nucleus
Q?,Possible Quasar
Bz?,Possible Blazar
BL?,Possible BL Lac
EmG,Emission-line galaxy
SBG,Starburst Galaxy
bCG,Blue compact Galaxy
LeI,Gravitationally Lensed Image
LeG,Gravitationally Lensed Image of a Galaxy
LeQ,Gravitationally Lensed Image of a Quasar
AGN,Active Galaxy Nucleus
LIN,LINER-type Active Galaxy Nucleus
SyG,Seyfert Galaxy
Sy1,Seyfert 1 Galaxy
Sy2,Seyfert 2 Galaxy
Bla,Blazar
BLL,BL Lac - type object
OVV,Optically Violently Variable object
QSO,Quasar
